ID,Total_Cell_Count,MCavg_Norm_Cell_Count,MCavg_Norm_Proliferative,Categories
hsa-miR-4743-3p,455.5,0.871231894,0.131251349,Anti
hsa-miR-362-5p,472.5,0.903747684,0.131251349,Anti
hsa-miR-2110,560.5,1.072064713,0.131251349,Anti
hsa-miR-132-5p,594.5,1.137096292,0.131251349,Anti
hsa-miR-744-5p,615,1.176306509,0.131251349,Anti
hsa-miR-205-5p,394.5,0.75455759,0.138159315,Anti
hsa-miR-182-5p,405.5,0.775597219,0.138159315,Anti
hsa-miR-6718-5p,405.5,0.775597219,0.138159315,Anti
hsa-miR-4482-5p,416,0.7956805,0.138159315,Anti
hsa-miR-660-5p,428,0.818632823,0.138159315,Anti
hsa-miR-5580-3p,460.5,0.880795362,0.138159315,Anti
hsa-miR-489,463.5,0.886533442,0.138159315,Anti
hsa-miR-548k,473,0.904704031,0.138159315,Anti
hsa-miR-2964a-5p,494,0.944870594,0.138159315,Anti
hsa-miR-5192,510.5,0.976430037,0.138159315,Anti
hsa-miR-22-5p,513,0.981211771,0.138159315,Anti
hsa-miR-30a-5p,552,1.055806818,0.138159315,Anti
hsa-miR-378a-5p,396.5,0.758382977,0.145067281,Anti
hsa-miR-4468,420.5,0.804287621,0.145067281,Anti
hsa-miR-6715b-3p,432,0.826283597,0.145067281,Anti
hsa-miR-558,439,0.839672451,0.145067281,Anti
hsa-miR-4715-5p,440,0.841585145,0.145067281,Anti
hsa-miR-4450,457,0.874100934,0.145067281,Anti
hsa-miR-1587,458.5,0.876969975,0.145067281,Anti
hsa-miR-4269,477,0.912354805,0.145067281,Anti
hsa-miR-5580-5p,493.5,0.943914248,0.145067281,Anti
hsa-miR-488-3p,500.5,0.957303102,0.145067281,Anti
hsa-miR-4683,548,1.048156044,0.145067281,Anti
hsa-miR-579,567.5,1.085453567,0.145067281,Anti
hsa-miR-3680-3p,584.5,1.117969357,0.145067281,Anti
hsa-miR-4524b-5p,348,0.665617342,0.151975246,Anti
hsa-miR-518a-3p,386,0.738299695,0.151975246,Anti
hsa-miR-486-3p,404.5,0.773684525,0.151975246,Anti
hsa-miR-92a-1-5p,406,0.776553565,0.151975246,Anti
hsa-miR-3142,428,0.818632823,0.151975246,Anti
hsa-miR-6500-3p,436.5,0.834890717,0.151975246,Anti
hsa-miR-4311,447.5,0.855930346,0.151975246,Anti
hsa-miR-30b-3p,452,0.864537467,0.151975246,Anti
hsa-miR-3975,463.5,0.886533442,0.151975246,Anti
hsa-miR-940,465,0.889402483,0.151975246,Anti
hsa-miR-548av-5p,471,0.900878644,0.151975246,Anti
hsa-miR-3653,473.5,0.905660377,0.151975246,Anti
hsa-miR-4754,493,0.942957901,0.151975246,Anti
hsa-miR-3135b,504.5,0.964953876,0.151975246,Anti
hsa-miR-1250,549,1.050068737,0.151975246,Anti
hsa-miR-4667-5p,556.5,1.064413939,0.151975246,Anti
hsa-miR-4747-5p,569,1.088322608,0.151975246,Anti
hsa-miR-6126,420.5,0.804287621,0.158883212,Anti
hsa-miR-4722-3p,424,0.810982049,0.158883212,Anti
hsa-miR-4728-5p,424,0.810982049,0.158883212,Anti
hsa-miR-4738-5p,440.5,0.842541491,0.158883212,Anti
hsa-miR-608,448.5,0.85784304,0.158883212,Anti
hsa-miR-3652,457,0.874100934,0.158883212,Anti
hsa-miR-1289,469,0.897053257,0.158883212,Anti
hsa-miR-640,475,0.908529418,0.158883212,Anti
hsa-miR-548v,500,0.956346755,0.158883212,Anti
hsa-miR-3689e,546.5,1.045287004,0.158883212,Anti
hsa-miR-330-5p,592.5,1.133270905,0.158883212,Anti
hsa-miR-6510-5p,349,0.667530035,0.165791178,Anti
hsa-miR-3130-5p,388,0.742125082,0.165791178,Anti
hsa-miR-6504-3p,391.5,0.748819509,0.165791178,Anti
hsa-miR-27b-5p,407,0.778466259,0.165791178,Anti
